queue,global_key,split,predicted_species,confidence,species_labelled_crowns,species_top1_accuracy,novelty_rank,batch_id
normal,comb_DJI_20240911155219_0026_V_5819zoom.JPG,,protium stevensonii,0.432490,45,0.7333,2333,34
normal,comb_DJI_20251001101834_0009_V_1505zoom.JPG,,simarouba amara,0.121140,42,0.8095,2334,49
normal,comb_DJI_20250522092039_0021_V_114zoom.JPG,,pouteria stipitata,0.105600,20,0.8000,2337,46
normal,comb_DJI_20250813110635_0024_V_9661zoom.JPG,,serjania circumvallata,0.583670,16,0.8125,2338,48
normal,comb_DJI_20250520091709_0032_V_192zoom.JPG,,calophyllum longifolium,0.471900,43,0.8837,2339,40
normal,comb_DJI_20260320110513_0053_V_1796tele.JPG,,sterculia apetala,0.692560,54,0.8148,2341,40
normal,comb_DJI_20250930114759_0049_V_3200zoom.JPG,,calophyllum longifolium,0.375290,43,0.8837,2348,40
normal,comb_DJI_20260320110205_0041_V_1073tele.JPG,,ocotea leptobotra,0.578800,15,0.8667,2349,49
normal,comb_DJI_20250520093137_0002_V_82zoom.JPG,,calophyllum longifolium,0.191550,43,0.8837,2350,40
normal,comb_DJI_20250716105142_0012_V_258zoom.JPG,,fridericia candicans,0.298120,40,0.8250,2357,44
normal,comb_DJI_20250806110845_0004_V_60zoom.JPG,,protium stevensonii,0.496370,45,0.7333,2360,34
normal,comb_DJI_20250522093814_0001_V_107zoom.JPG,,protium stevensonii,0.143640,45,0.7333,2361,34
normal,comb_DJI_20251016112123_0055_V_7283zoom.JPG,,ceiba pentandra,0.737650,59,0.8644,2362,35
normal,comb_DJI_20241126103417_0040_V_462zoom.JPG,,hippocratea volubilis,0.204140,19,0.8421,2365,31
normal,comb_DJI_20260318104127_0019_V_6868tele.JPG,,anacardium excelsum,0.691150,392,0.9286,2375,17
normal,comb_DJI_20250924103035_0001_V_1446zoom.JPG,,uncaria tomentosa,0.334080,53,0.7170,2378,39
normal,comb_DJI_20251017100614_0007_V_10752zoom.JPG,,ceiba pentandra,0.699900,59,0.8644,2381,35
normal,comb_DJI_20251016124439_0011_V_58zoom.JPG,,ceiba pentandra,0.342240,59,0.8644,2384,35
normal,comb_DJI_20250106095919_0012_V_5194zoom.JPG,,hieronyma alchorneoides,0.528930,107,0.9252,2386,24
normal,comb_DJI_20240912091527_0006_V_3181zoom.JPG,,protium stevensonii,0.114170,45,0.7333,2387,34
normal,comb_DJI_20250110140133_0020_V_126zoom.JPG,,spondias radlkoferi,0.614960,11,0.8182,2388,31
normal,comb_DJI_20260317090817_0035_V_10776tele.JPG,,oenocarpus mapora,0.277550,15,0.7333,2392,43
normal,comb_DJI_20251014104719_0039_V_4963zoom.JPG,,platypodium elegans,0.340650,33,0.8182,2400,45
normal,comb_DJI_20250806103053_0032_V_152zoom.JPG,,protium stevensonii,0.537900,45,0.7333,2402,34
normal,comb_DJI_20251015122750_0047_V_8835zoom.JPG,,hippocratea volubilis,0.704810,19,0.8421,2404,31
normal,comb_DJI_20251016131038_0017_V_3883zoom.JPG,,hieronyma alchorneoides,0.670490,107,0.9252,2408,24
normal,comb_DJI_20250814134801_0017_V_7684zoom.JPG,,davilla nitida,0.109350,21,0.7619,2409,42
normal,comb_DJI_20250520091743_0034_V_171zoom.JPG,,terminalia oblonga,0.222040,19,0.7895,2410,35
normal,comb_DJI_20250814142242_0011_V_4725zoom.JPG,,hieronyma alchorneoides,0.668330,107,0.9252,2415,24
normal,comb_DJI_20250930114502_0039_V_5041zoom.JPG,,luehea seemannii,0.799330,143,0.8741,2417,37
