species,gt_raw_labels,n_labelled_frames,n_correct_top1,top1_accuracy,n_correct_top5,top5_accuracy,n_guessed_frames,precision,recall,f1,mean_top1_confidence,median_top1_confidence,p25_top1_confidence,p75_top1_confidence,iqr_top1_confidence,mean_top1_confidence_when_correct,in_corpus_vocabulary,in_project_checklist,support_bucket,status
cecropia obtusifolia,Cecropia obtusifolia,1,0,0.0000,1,1.0000,0,0.0000,0.0000,0.0000,0.4875,0.4875,0.4875,0.4875,0.0000,,True,True,1,ranking
chomelia psilocarpa,Chomelia psilocarpa,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.1669,0.1669,0.1669,0.1669,0.0000,,False,True,1,unreachable
cissus erosa,Cissus erosa,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.8992,0.8992,0.8992,0.8992,0.0000,0.8992,True,True,1,unmeasured
combretum fruticosum,Combretum fruticosum,1,1,1.0000,1,1.0000,3,0.3333,1.0000,0.5000,0.3759,0.3759,0.3759,0.3759,0.0000,0.3759,True,True,1,unmeasured
coussapoa villosa,Coussapoa villosa,1,0,0.0000,1,1.0000,0,0.0000,0.0000,0.0000,0.1824,0.1824,0.1824,0.1824,0.0000,,True,True,1,ranking
cupania rufescens,Cupania rufescens,1,0,0.0000,1,1.0000,0,0.0000,0.0000,0.0000,0.1872,0.1872,0.1872,0.1872,0.0000,,True,True,1,ranking
davilla kunthii,Davilla kunthii-DAVIKU,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.8185,0.8185,0.8185,0.8185,0.0000,,True,True,1,unmeasured
dolichandra unguis-cati,Macfadyena unguis-cati,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.3974,0.3974,0.3974,0.3974,0.0000,,True,True,1,unmeasured
doliocarpus major,Doliocarpus major,1,1,1.0000,1,1.0000,5,0.2000,1.0000,0.3333,0.9689,0.9689,0.9689,0.9689,0.0000,0.9689,True,True,1,unmeasured
doliocarpus multiflorus,Doliocarpus multiflorus,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.9670,0.9670,0.9670,0.9670,0.0000,0.9670,True,True,1,unmeasured
eugenia florida,Eugenia coloradoensis,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0399,0.0399,0.0399,0.0399,0.0000,,False,True,1,unreachable
eugenia nesiotica,Eugenia nesiotica,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.5250,0.5250,0.5250,0.5250,0.0000,,False,True,1,unreachable
faramea occidentalis,Faramea occidentalis,1,0,0.0000,0,0.0000,2,0.0000,0.0000,0.0000,0.2834,0.2834,0.2834,0.2834,0.0000,,True,True,1,unmeasured
fevillea cordifolia,Fevillea cordifolia,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0195,0.0195,0.0195,0.0195,0.0000,,False,True,1,unreachable
ficus costaricana,Ficus costaricana,1,1,1.0000,1,1.0000,1,1.0000,1.0000,1.0000,0.0870,0.0870,0.0870,0.0870,0.0000,0.0870,True,True,1,unmeasured
gnetum leyboldii,Gnetum leyboldii,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.2347,0.2347,0.2347,0.2347,0.0000,,False,True,1,unreachable
heteropterys intermedia,Heteropterys laurifolia,1,1,1.0000,1,1.0000,2,0.5000,1.0000,0.6667,0.3061,0.3061,0.3061,0.3061,0.0000,0.3061,True,True,1,unmeasured
hiraea reclinata,Hiraea reclinata,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.6338,0.6338,0.6338,0.6338,0.0000,,True,True,1,unmeasured
inga goldmanii,Inga goldmanii,1,0,0.0000,1,1.0000,0,0.0000,0.0000,0.0000,0.0211,0.0211,0.0211,0.0211,0.0000,,True,True,1,ranking
inga laurina,Inga laurina,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.0573,0.0573,0.0573,0.0573,0.0000,,True,True,1,unmeasured
inga pezizifera,Inga pezizifera,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.2815,0.2815,0.2815,0.2815,0.0000,,False,True,1,unreachable
inga sapindoides,Inga sapindoides,1,0,0.0000,0,0.0000,0,0.0000,0.0000,0.0000,0.9603,0.9603,0.9603,0.9603,0.0000,,True,True,1,unmeasured
